name,mni_x,mni_y,mni_z,col,region,area,region.area,FS
39 Frontopolar (BA10fp),9,69,4,39,39 Frontopolar (BA10fp),Associative cortex,Associative Cortex,GM
38 Anterior Prefrontal (BA10),9,66,18,38,38 Anterior Prefrontal (BA10),Associative cortex,Associative Cortex,GM
46 Prefrontal Medial (BA10m),2,66,14,46,46 Prefrontal Medial (BA10m),Associative cortex,Associative Cortex,GM
7  Orbitofrontal (BA47),20,41,-14,7,7  Orbitofrontal (BA47),Associative cortex,Associative Cortex,GM
34 Dorsolateral Prefrontal (BA9),12,41,46,34,34 Dorsolateral Prefrontal (BA9),Associative cortex,Associative Cortex,GM
35 Dorsolateral Prefrontal Medial (BA9m),2,41,32,35,35 Dorsolateral Prefrontal Medial (BA9m),Associative cortex,Associative Cortex,GM
40 Cingulate Anterior (BA32g),2,41,14,40,40 Cingulate Anterior (BA32g),Limbic cortex,Limbic Cortex,GM
44 Dorsolateral Prefrontal (BA46),40,41,14,44,44 Dorsolateral Prefrontal (BA46),Associative cortex,Associative Cortex,GM
"45 Ventrolateral Prefrontal, Broca (BA45)",51,27,0,45,"45 Ventrolateral Prefrontal, Broca (BA45)",Associative cortex,Associative Cortex,GM
50 Orbitofrontal (BA11),12,41,-20,50,50 Orbitofrontal (BA11),Associative cortex,Associative Cortex,GM
21 FEF Lateral (BA8),40,17,46,21,21 FEF Lateral (BA8),Secondary cortex,Secondary Cortex,GM
23 Insular Anterior Cortex,33,17,0,23,23 Insular Anterior Cortex,Associative cortex,Associative Cortex,GM
"32 Ventrolateral Prefrontal, Broca (BA44)",51,17,22,32,"32 Ventrolateral Prefrontal, Broca (BA44)",Associative cortex,Associative Cortex,GM
36 FEF Medial (BA8m),2,17,56,36,36 FEF Medial (BA8m),Secondary cortex,Secondary Cortex,GM
43 Temporopolar (BA38),33,14,-28,43,43 Temporopolar (BA38),Associative cortex,Associative Cortex,GM
49 Cingulate Anterior (BA32),2,17,46,49,49 Cingulate Anterior (BA32),Limbic cortex,Limbic Cortex,GM
56 Nucleus Accumbens,6,9,-10,56,56 Nucleus Accumbens,Basal Ganglia,Basal Ganglia,SubCtx
71 External Capsule,23,20,4,71,71 External Capsule,White_matter,White Matter,SubCtx
73 Corpus Callosum Anterior,2,17,18,73,73 Corpus Callosum Anterior,White_matter,White Matter,SubCtx
57 Caudate,9,17,4,57,57 Caudate,Basal Ganglia,Basal Ganglia,SubCtx
22 Premotor Medial (BA6m),6,7,60,22,22 Premotor Medial (BA6m),Secondary cortex,Secondary Cortex,GM
30 Premotor Anterior Lateral (BA6a),44,7,46,30,30 Premotor Anterior Lateral (BA6a),Secondary cortex,Secondary Cortex,GM
42 Cingulate Subcallosal (BA25),6,7,-14,42,42 Cingulate Subcallosal (BA25),Limbic cortex,Limbic Cortex,GM
48 Cingulate Anterior (BA24),2,7,36,48,48 Cingulate Anterior (BA24),Limbic cortex,Limbic Cortex,GM
51 Piriform Cortex,23,0,-17,51,51 Piriform Cortex,Primary cortex,Primary Cortex,GM
1  Cerebellar Grey Matter,48,-56,-34,1,1  Cerebellar Grey Matter,Cerebellum,Cerebellar Grey Matter,SubCtx
59 Deep Nuclei - Dentate Nucleus,12,-49,-31,59,59 Deep Nuclei - Dentate Nucleus,Cerebellum,Cerebellar White Matter,SubCtx
75 Cerebellar White Matter,20,-56,-38,75,75 Cerebellar White Matter,Cerebellum,Cerebellar White Matter,SubCtx
12 Premotor Posterior (BA6p),23,-11,60,12,12 Premotor Posterior (BA6p),Secondary cortex,Secondary Cortex,GM
13 Premotor Precentral (BA6prc),40,-11,53,13,13 Premotor Precentral (BA6prc),Secondary cortex,Secondary Cortex,GM
15 1ary Motor (BA4),48,-11,46,15,15 1ary Motor (BA4),Primary cortex,Primary Cortex,GM
18 1ary Somatosensory (BA3/1/2),58,-11,36,18,18 1ary Somatosensory (BA3/1/2),Primary cortex,Primary Cortex,GM
"26 2ary Auditory, language (BA22a)",58,-11,4,26,"26 2ary Auditory, language (BA22a)",Secondary cortex,Secondary Cortex,GM
33 Anterior Inferior Temporal (BA20a),51,-11,-34,33,33 Anterior Inferior Temporal (BA20a),Associative cortex,Associative Cortex,GM
37 2ary Auditory Anterior (BA21a),62,-11,-10,37,37 2ary Auditory Anterior (BA21a),Secondary cortex,Secondary Cortex,GM
54 Entorhinal Cortex,16,-11,-31,54,54 Entorhinal Cortex,Limbic cortex,Limbic Cortex,GM
58 Putamen,26,-11,4,58,58 Putamen,Basal Ganglia,Basal Ganglia,SubCtx
64 Globus Pallidus,16,8,-4,64,64 Globus Pallidus,Basal Ganglia,Basal Ganglia,SubCtx
67 Ventral Anterior Thalamus,9,-7,11,67,67 Ventral Anterior Thalamus,Thalamus,Thalamus,SubCtx
69 Hypothalamus,0,-7,-15,69,69 Hypothalamus,Hypothalamus,Hypothalamus,SubCtx
72 Internal Capsule,16,-11,14,72,72 Internal Capsule,White_matter,White Matter,SubCtx
52 Amygdala,16,-11,-20,52,52 Amygdala,Limbic cortex,Limbic Cortex,SubCtx
